,uid,method,c,epsilon,meanql
129,7,ESSA,3,1.4000000000000001,0.11235782517270328
130,14,OPT-SEM-IND,3,1.4000000000000001,0.01993265993265994
131,14,ESSA,3,1.4000000000000001,0.10878964445536515
132,22,OPT-SEM-IND,3,1.4000000000000001,0.010855152421670549
133,22,ESSA,3,1.4000000000000001,0.08228209981466704
134,25,OPT-SEM-IND,3,1.4000000000000001,0.017396664794245502
135,25,ESSA,3,1.4000000000000001,0.13290571861750688
136,35,OPT-SEM-IND,3,1.4000000000000001,0.06453426610020369
137,35,ESSA,3,1.4000000000000001,0.12101143792885831
138,36,OPT-SEM-IND,3,1.4000000000000001,0.10490379261408221
139,36,ESSA,3,1.4000000000000001,0.15966481366633176
140,38,OPT-SEM-IND,3,1.4000000000000001,0.024667066256856926
141,38,ESSA,3,1.4000000000000001,0.09718716710819793
142,43,OPT-SEM-IND,3,1.4000000000000001,0.023021582733812957
143,43,ESSA,3,1.4000000000000001,0.0945135398185599
144,44,OPT-SEM-IND,3,1.4000000000000001,0.013848039215686283
145,44,ESSA,3,1.4000000000000001,0.07768277867856782
146,52,OPT-SEM-IND,3,1.4000000000000001,0.012497048150416445
147,52,ESSA,3,1.4000000000000001,0.14425108695099062
148,62,OPT-SEM-IND,3,1.4000000000000001,0.022350517238402926
149,62,ESSA,3,1.4000000000000001,0.14162335307142282
150,65,OPT-SEM-IND,3,1.4000000000000001,0.06130773177785166
151,65,ESSA,3,1.4000000000000001,0.12468503878158381
152,67,OPT-SEM-IND,3,1.4000000000000001,0.06501557281876627
153,67,ESSA,3,1.4000000000000001,0.14661515858174862
154,71,OPT-SEM-IND,3,1.4000000000000001,0.05622506604435519
155,71,ESSA,3,1.4000000000000001,0.15613341999208089
156,84,OPT-SEM-IND,3,1.4000000000000001,0.015179760319573913
157,84,ESSA,3,1.4000000000000001,0.09936967250195865
158,85,OPT-SEM-IND,3,1.4000000000000001,0.009228070513341475
159,85,ESSA,3,1.4000000000000001,0.08666190721810735
160,128,OPT-SEM-IND,3,1.4000000000000001,0.0040030792917628965
161,128,ESSA,3,1.4000000000000001,0.08425337769062877
162,4,OPT-SEM-IND,3,1.8000000000000003,0.042482065618792975
163,4,ESSA,3,1.8000000000000003,0.11804294479232605
164,7,OPT-SEM-IND,3,1.8000000000000003,0.05913332623204091
165,7,ESSA,3,1.8000000000000003,0.11271724085000229
166,14,OPT-SEM-IND,3,1.8000000000000003,0.01993265993265994
167,14,ESSA,3,1.8000000000000003,0.10933612191794638
168,22,OPT-SEM-IND,3,1.8000000000000003,0.010855152421670549
169,22,ESSA,3,1.8000000000000003,0.08271842443527809
170,25,OPT-SEM-IND,3,1.8000000000000003,0.017396664794245502
171,25,ESSA,3,1.8000000000000003,0.1336035934069008
172,35,OPT-SEM-IND,3,1.8000000000000003,0.054096143325195134
173,35,ESSA,3,1.8000000000000003,0.12140755860512192
174,36,OPT-SEM-IND,3,1.8000000000000003,0.08263539465012253
175,36,ESSA,3,1.8000000000000003,0.1597197725241127
176,38,OPT-SEM-IND,3,1.8000000000000003,0.024667066256856926
177,38,ESSA,3,1.8000000000000003,0.09757387672765978
