,uid,method,epsilon,mean_ql,kl_div,max_div,adv_err
0,1671,ESSA,0.1,0.20988627270191929,0.054930809316841904,3.535058616605075,0.8533780212933789
1,1671,ESSA,0.30000000000000004,0.2093278575820469,0.05529858034125395,3.4554573988411383,0.8522277033293757
2,1671,ESSA,0.5000000000000001,0.2088338880148206,0.05691408029569755,3.8516087088858773,0.8505120516477309
3,1671,ESSA,0.7000000000000001,0.20833236951208933,0.05712439728164644,3.5414716038178784,0.8488222700249972
4,1671,ESSA,0.9000000000000001,0.2077908373334796,0.058084918391757626,3.3149593510794753,0.8471591437085104
5,1671,ESSA,1.1000000000000003,0.20732938935394543,0.058359468411119816,3.101648610171453,0.8455234286561207
6,1671,ESSA,1.3000000000000003,0.20673410128013764,0.05938058641073775,2.9675182129069912,0.8437934214539939
7,1671,ESSA,1.5000000000000004,0.2062640141899046,0.059868950357030194,3.144902686868162,0.8411446002591242
8,1671,ESSA,1.7000000000000004,0.20565766009714076,0.0612834266398179,3.21129423086836,0.8385293749210179
9,1671,ESSA,1.9000000000000004,0.2051827208334339,0.06270936527747507,2.9442906715918964,0.8359487935541234
