,uid,method,epsilon,mean_ql,kl_div,max_div,adv_err
0,22,PL,0.1,2.091536193,0.05302451,2.203209901,0.679987992
1,22,OPT-GEO-IND,0.1,0.765551984,0,0,0.765551984
2,22,OPT-SEM-IND,0.1,0.165975231,0,0,0.765551984
3,22,USS,0.1,0.789611575,0.052617202,0.260195053,0.765551984
5,22,PL,0.3,1.901111947,0.058512765,2.734591273,0.528352944
6,22,OPT-GEO-IND,0.3,0.765551984,0,0,0.765551984
7,22,OPT-SEM-IND,0.3,0.165975231,0,0,0.765551984
9,22,PL,0.5,1.7219057,0.066395265,3.529397065,0.405415895
10,22,OPT-GEO-IND,0.5,0.760361484,0.142711877,0.567926869,0.518027418
11,22,OPT-SEM-IND,0.5,0.160120621,0.076344046,0.222467129,0.603051934
13,22,PL,0.7,1.555564389,0.079078294,3.773431908,0.31104135
14,22,OPT-GEO-IND,0.7,0.710645099,0.202033261,2.037928026,0.413908685
15,22,OPT-SEM-IND,0.7,0.151523353,0.100179217,0.297282471,0.557616338
17,22,PL,0.9,1.408128661,0.092042049,3.883393453,0.242050998
18,22,OPT-GEO-IND,0.9,0.643212072,0.258878065,1.329588596,0.345483211
19,22,OPT-SEM-IND,0.9,0.143824991,0.120406573,0.363715571,0.518689591
21,22,PL,1.1,1.276790573,0.103740327,3.97503775,0.193730481
22,22,OPT-GEO-IND,1.1,0.556266292,0.294645019,2.957391166,0.312819358
23,22,OPT-SEM-IND,1.1,0.137021253,0.142815702,0.44181455,0.485266947
25,22,PL,1.3,1.162242542,0.115963916,3.974217542,0.161206586
26,22,OPT-GEO-IND,1.3,0.478630946,0.334017078,2.222787108,0.259355358
27,22,OPT-SEM-IND,1.3,0.129248518,0.22740191,0.789288123,0.327275708
29,22,PL,1.5,1.063366221,0.132168326,4.255629265,0.140266468
30,22,OPT-GEO-IND,1.5,0.41600676,0.357882701,2.332165834,0.230287922
31,22,OPT-SEM-IND,1.5,0.119660374,0.257148649,0.905967985,0.300009219
33,22,PL,1.7,0.977966928,0.147422679,4.255229192,0.127641954
34,22,OPT-GEO-IND,1.7,0.366460905,0.390391424,3.976407977,0.213915851
35,22,OPT-SEM-IND,1.7,0.11125696,0.278893702,1.006751232,0.289509303
37,22,PL,1.9,0.902738546,0.160157506,4.302445539,0.120970637
38,22,OPT-GEO-IND,1.9,0.326937228,0.415361917,2.72053763,0.177437343
39,22,OPT-SEM-IND,1.9,0.103384063,0.343667911,1.351275229,0.215283202
41,22,ESSA,0.1,0.334857336,0.0522144,2.209517718,0.758775727
42,22,ESSA,0.3,0.334702289,0.052107632,2.12648277,0.745322187
43,22,ESSA,0.5,0.334519555,0.052109369,2.119132351,0.732003271
44,22,ESSA,0.7,0.33434716,0.052150054,2.247925397,0.718822074
45,22,ESSA,0.9,0.33415843,0.052252679,2.357950794,0.705781585
46,22,ESSA,1.1,0.333972809,0.052582055,2.414609261,0.69288468
47,22,ESSA,1.3,0.333781535,0.052491149,2.323798311,0.68013412
48,22,ESSA,1.5,0.33360181,0.053000241,2.381159227,0.667532545
49,22,ESSA,1.7,0.333402752,0.053050374,2.398383252,0.655082471
50,22,ESSA,1.9,0.333182085,0.0532959,2.376739679,0.642786289
