,uid,method,epsilon,mean_ql,kl_div,max_div
0,22,PL,0.1,2.340170936098894,0.14397299609399525,10.27505310896061
1,22,OPT-GEO-IND,0.1,0.765551983811489,0.0,0.0
2,22,PL,0.30000000000000004,2.182264284617263,0.15723392367218317,9.546814608591395
3,22,OPT-GEO-IND,0.30000000000000004,0.765551983811489,0.0,0.0
4,22,PL,0.5000000000000001,1.9688468428915054,0.16325987697083222,9.305651551778007
5,22,OPT-GEO-IND,0.5000000000000001,0.7614089647885673,0.1252214490957289,10.085810109320583
6,22,PL,0.7000000000000001,1.7618497471011512,0.1733408729353319,9.305653551776008
7,22,OPT-GEO-IND,0.7000000000000001,0.7166682535389384,0.26325595535935975,9.392662928763638
8,22,PL,0.9000000000000001,1.5744929607482432,0.1817833973789215,10.043251494907286
9,22,OPT-GEO-IND,0.9000000000000001,0.6524886561393147,0.42320388212841764,11.170436156016953
10,22,PL,1.1000000000000003,1.4114637976913769,0.19585096802587043,10.308953660642793
11,22,OPT-GEO-IND,1.1000000000000003,0.5716751763463145,0.575589474130516,9.104980856310856
12,22,PL,1.3000000000000003,1.2732116340999289,0.21772591533195748,9.852195258146077
