,uid,method,epsilon,exp_ql,mean_ql,kl_div,max_div
0,154,PL,0.1,2.631567972251431,2.6802940064664984,0.0015548063410290337,0.391394524211222
1,154,OPT-GEO-IND,0.1,0.5846539161639333,0.5846539161639331,0.0,0.0
2,154,OPT-SEM-IND,0.1,0.12525299072498772,0.12525299072498772,0.0,0.0
3,154,PL,0.30000000000000004,2.460094744466721,2.544243578241083,0.0014078992333515065,0.36724389528796664
4,154,OPT-GEO-IND,0.30000000000000004,0.5769258056886902,0.5756495252537864,0.04091776782216038,0.5908067160720993
5,154,OPT-SEM-IND,0.30000000000000004,0.12525299072498772,0.12525299072498772,0.0,0.0
6,154,PL,0.5000000000000001,2.2850063575502455,2.3127274337302435,0.001154532018121022,0.3787876209740739
7,154,OPT-GEO-IND,0.5000000000000001,0.5628059641793887,0.5618265613234883,0.10616318621518576,1.0140789127558754
8,154,OPT-SEM-IND,0.5000000000000001,0.12525299072498772,0.12525299072498772,0.0,0.0
9,154,PL,0.7000000000000001,2.111371490223619,2.1632004441715122,0.0011247216100468969,0.5749875679832765
10,154,OPT-GEO-IND,0.7000000000000001,0.5448844351993061,0.5461697622310294,0.019492825240904982,1.0102421235082797
11,154,OPT-SEM-IND,0.7000000000000001,0.12525299072498772,0.12525299072498772,0.0,0.0
12,154,PL,0.9000000000000001,1.9442017046907387,2.0535159394235114,0.0012763214332725495,0.6257058997644123
13,154,OPT-GEO-IND,0.9000000000000001,0.5238087344355875,0.5318740118228518,0.04375480556933893,1.8030161148404917
14,154,OPT-SEM-IND,0.9000000000000001,0.12030248481450236,0.11918244614426687,0.12771651370619727,0.917447639637968
15,154,PL,1.1000000000000003,1.787589659556278,1.8277333853087299,0.002485657400740633,1.1595210417551023
16,154,OPT-GEO-IND,1.1000000000000003,0.49803090612413486,0.5109596360799125,0.2765028082074704,2.392687447493219
17,154,OPT-SEM-IND,1.1000000000000003,0.11406224311914097,0.11528168480005005,0.17803885864565908,1.1164677840733646
18,154,PL,1.3000000000000003,1.6441829635480292,1.6700684702741524,0.00465706090830264,1.2537614708249576
19,154,OPT-GEO-IND,1.3000000000000003,0.471587817782948,0.4880886897234008,0.40272423555122794,2.8312255388512093
20,154,OPT-SEM-IND,1.3000000000000003,0.10852677285942988,0.10991781728906722,0.23327073939542467,1.3155018542218015
21,154,PL,1.5000000000000004,1.5151162052734262,1.5470640865504879,0.008859565331692241,1.5291327031184219
22,154,OPT-GEO-IND,1.5000000000000004,0.4455917449514255,0.4652835621094757,0.5353475935705514,3.190340674340596
23,154,OPT-SEM-IND,1.5000000000000004,0.10284407596674673,0.10688557529869679,0.4716505700124587,1.5156217810384316
24,154,PL,1.7000000000000004,1.4002897103644718,1.437569733341473,0.015169763725636129,1.8750701536662078
25,154,OPT-GEO-IND,1.7000000000000004,0.4194708452772689,0.4231604622000381,0.34988047532175487,3.333519434756513
26,154,OPT-SEM-IND,1.7000000000000004,0.09492845505550591,0.10039951298911363,0.5628175762943323,1.7201461108820795
27,154,PL,1.9000000000000004,1.2987876145412836,1.3246817062341412,0.022336135948017245,2.03317478677822
28,154,OPT-GEO-IND,1.9000000000000004,0.3953454062648152,0.39207680607199574,0.40949103842513457,3.5099185805264854
29,154,OPT-SEM-IND,1.9000000000000004,0.08796289146271591,0.09237785066838056,0.6585216111297233,1.9223438845200336
30,154,PL,2.1000000000000005,1.2092695744585837,1.2379819877305078,0.03174597483628544,2.1919195251065258
31,154,OPT-GEO-IND,2.1000000000000005,0.3735848150926327,0.36991700874983935,0.5328970772473469,3.9424482837658394
32,154,OPT-SEM-IND,2.1000000000000005,0.08183591583733316,0.08648681562062066,0.7557802098651959,2.1192292936904713
