,uid,method,epsilon,mean_ql,kl_div,max_div
0,1671,ESS,0.1,0.6484665930292102,0.000843586069845212,0.06526033387700318
1,1671,ESS,0.30000000000000004,0.629819173287142,0.0015490336900262967,0.08574376568802644
2,1671,ESS,0.5000000000000001,0.612097037433513,0.002896366580352617,0.11264404442801758
3,1671,ESS,0.7000000000000001,0.5975676243439166,0.004802241614656817,0.1409879895464275
4,1671,ESS,0.9000000000000001,0.577934506463767,0.007285451755267934,0.16976276416832953
5,1671,ESS,1.1000000000000003,0.5530404051714302,0.010397460005596952,0.20019056086929365
6,1671,ESS,1.3000000000000003,0.5253017282723405,0.014179086668541709,0.23189060844396966
7,1671,ESS,1.5000000000000004,0.5015796841424331,0.01852633101983404,0.26369234585012236
8,1671,ESS,1.7000000000000004,0.4866791987003889,0.023487985607271063,0.297381660940702
9,1671,ESS,1.9000000000000004,0.4706224921668599,0.028925175003929767,0.3295925229020518
