,uid,method,ndim,mean_ql
0,22,PL,1,1.2423561496143065
1,22,OPT-LOC-DP,1,1.024905547054325
2,22,OPT-SEM-IND,1,0.37552053962344445
3,22,USS,1,0.8651258583067186
4,22,ESSA,1,0.702823213822653
5,590,PL,1,1.16546853675879
6,590,OPT-LOC-DP,1,0.576999073547336
7,590,OPT-SEM-IND,1,0.27162329013051323
8,590,USS,1,0.7808231679683263
9,590,ESSA,1,0.6930638697684505
10,1255,PL,1,1.218695465477924
11,1255,OPT-LOC-DP,1,0.9253067246040669
12,1255,OPT-SEM-IND,1,0.3628163033812806
13,1255,USS,1,0.8387707123025953
14,1255,ESSA,1,0.6806786355978135
15,1810,PL,1,1.1645106322578012
16,1810,OPT-LOC-DP,1,0.43109823745435183
17,1810,OPT-SEM-IND,1,0.24396157429278567
18,1810,USS,1,0.7739214719488651
19,1810,ESSA,1,0.6975767265311463
20,3480,PL,1,1.2095325038482996
21,3480,OPT-LOC-DP,1,0.679167807324269
22,3480,OPT-SEM-IND,1,0.30485889494187146
23,3480,USS,1,0.8261910961535464
24,3480,ESSA,1,0.7035727543031901
25,4584,PL,1,1.1771302508433814
26,4584,OPT-LOC-DP,1,0.6927806667901354
27,4584,OPT-SEM-IND,1,0.31064051471657994
28,4584,USS,1,0.7956430346209961
29,4584,ESSA,1,0.6716844933501901
30,4907,PL,1,1.316733949950561
31,4907,OPT-LOC-DP,1,0.9411208862047289
32,4907,OPT-SEM-IND,1,0.40082678448810616
33,4907,USS,1,0.9525779798659073
34,4907,ESSA,1,0.7274194797446574
35,4985,PL,1,1.2426049706231062
36,4985,OPT-LOC-DP,1,0.6643748369029769
37,4985,OPT-SEM-IND,1,0.3436519663838169
38,4985,USS,1,0.8299933241941826
39,4985,ESSA,1,0.693919796641295
40,6798,PL,1,1.2349562260442764
41,6798,OPT-LOC-DP,1,0.9975851203453491
42,6798,OPT-SEM-IND,1,0.37022713426998566
43,6798,USS,1,0.8767193005749803
44,6798,ESSA,1,0.7043666279807093
45,10492,PL,1,1.2519119282604791
46,10492,OPT-LOC-DP,1,0.925955482885922
47,10492,OPT-SEM-IND,1,0.37606498483891804
48,10492,USS,1,0.8379504591982607
49,10492,ESSA,1,0.6849561083535082
50,15584,PL,1,1.1756402388587452
51,15584,OPT-LOC-DP,1,0.4166883888610171
52,15584,OPT-SEM-IND,1,0.24254960798752498
53,15584,USS,1,0.7935701998981148
54,15584,ESSA,1,0.668690400542769
55,26352,PL,1,1.2121382354370416
56,26352,OPT-LOC-DP,1,0.9344616829638693
57,26352,OPT-SEM-IND,1,0.3693095777773885
58,26352,USS,1,0.8182186165478126
59,26352,ESSA,1,0.6685565029745906
60,31486,PL,1,1.2819673831110947
61,31486,OPT-LOC-DP,1,1.0153354859269472
62,31486,OPT-SEM-IND,1,0.3723167024267545
63,31486,USS,1,0.9112104908994633
64,31486,ESSA,1,0.6996679153557045
65,36273,PL,1,1.2246630430213366
66,36273,OPT-LOC-DP,1,0.9883531410511717
67,36273,OPT-SEM-IND,1,0.3540104875787437
68,36273,USS,1,0.8432632260427952
69,36273,ESSA,1,0.6882146185374179
70,44524,PL,1,1.3267537679485084
71,44524,OPT-LOC-DP,1,0.2161429015647503
72,44524,OPT-SEM-IND,1,0.15826055568652245
73,44524,USS,1,0.992227342992388
74,44524,ESSA,1,0.7168039564755005
75,52943,PL,1,1.2087156579064169
76,52943,OPT-LOC-DP,1,0.4996991982937218
77,52943,OPT-SEM-IND,1,0.2765318829504873
78,52943,USS,1,0.7846056499714248
79,52943,ESSA,1,0.6718014620971092
80,79128,PL,1,1.2266242902107674
81,79128,OPT-LOC-DP,1,0.743741858006292
82,79128,OPT-SEM-IND,1,0.36134385661970214
83,79128,USS,1,0.8575662655411297
84,79128,ESSA,1,0.689281864054814
85,104357,PL,1,1.2095394066649565
86,104357,OPT-LOC-DP,1,0.8510439388489822
87,104357,OPT-SEM-IND,1,0.3641468651306408
88,104357,USS,1,0.8412960481645388
89,104357,ESSA,1,0.6810922101782219
90,122586,PL,1,1.182802340326589
91,122586,OPT-LOC-DP,1,0.7569777039410658
92,122586,OPT-SEM-IND,1,0.2724745790876329
93,122586,USS,1,0.8033591081506567
94,122586,ESSA,1,0.6799930633048081
95,153607,PL,1,1.2458750091796118
96,153607,OPT-LOC-DP,1,0.6062573993936285
97,153607,OPT-SEM-IND,1,0.32190879764951486
98,153607,USS,1,0.8992961871988056
99,153607,ESSA,1,0.6932126244848932
100,22,PL,2,1.2423561496143065
101,22,OPT-LOC-DP,2,1.024905547054325
102,22,OPT-SEM-IND,2,0.42514270377853425
103,22,USS,2,1.0461692354632526
104,22,ESSA,2,0.7343458906627848
105,590,PL,2,1.16546853675879
106,590,OPT-LOC-DP,2,0.576999073547336
107,590,OPT-SEM-IND,2,0.2816182029758923
108,590,USS,2,1.0319139810214777
109,590,ESSA,2,0.7374625545608604
110,1255,PL,2,1.218695465477924
111,1255,OPT-LOC-DP,2,0.9253067246040669
112,1255,OPT-SEM-IND,2,0.42323655728951404
113,1255,USS,2,0.9457574910147102
114,1255,ESSA,2,0.7013174770401653
115,1810,PL,2,1.1645106322578012
116,1810,OPT-LOC-DP,2,0.43109823745435183
117,1810,OPT-SEM-IND,2,0.2726546808443917
118,1810,USS,2,0.885818672023833
119,1810,ESSA,2,0.7321098801211172
120,3480,PL,2,1.2095325038482996
121,3480,OPT-LOC-DP,2,0.679167807324269
122,3480,OPT-SEM-IND,2,0.3639548535360879
123,3480,USS,2,0.8959734133204209
124,3480,ESSA,2,0.7297517046210854
125,4584,PL,2,1.1771302508433814
126,4584,OPT-LOC-DP,2,0.6943399422633206
127,4584,OPT-SEM-IND,2,0.34700006391910815
128,4584,USS,2,0.9872015165161935
129,4584,ESSA,2,0.6992561180223451
130,4907,PL,2,1.316733949950561
131,4907,OPT-LOC-DP,2,0.9411208862047289
132,4907,OPT-SEM-IND,2,0.42577488080106934
133,4907,USS,2,1.042654525754908
134,4907,ESSA,2,0.755078704460928
135,4985,PL,2,1.2426049706231062
136,4985,OPT-LOC-DP,2,0.6643748369029769
137,4985,OPT-SEM-IND,2,0.3564954902520992
138,4985,USS,2,0.9403592889230368
139,4985,ESSA,2,0.727150209969847
140,6798,PL,2,1.2349562260442764
141,6798,OPT-LOC-DP,2,0.9975851203453491
142,6798,OPT-SEM-IND,2,0.41066496919380685
143,6798,USS,2,1.15734141327818
144,6798,ESSA,2,0.7318233042082066
145,10492,PL,2,1.2519119282604791
146,10492,OPT-LOC-DP,2,0.925955482885922
147,10492,OPT-SEM-IND,2,0.4191914896334231
148,10492,USS,2,0.9733117855348897
149,10492,ESSA,2,0.7185464800482106
150,15584,PL,2,1.1756402388587452
