,uid,method,epsilon,mean_ql,kl_div,max_div,adv_err
0,22,PL,0.1,2.091536193106385,0.05302451043795874,2.203209900622344,0.6799879923963393
1,22,OPT-GEO-IND,0.1,0.765551983811489,0.0,0.0,0.765551983811481
2,22,OPT-SEM-IND,0.1,0.16597523117194898,0.0,0.0,0.765551983811481
3,22,USS,0.1,0.7896115748970021,0.052617202166038185,0.260195052992791,0.7655519838114779
4,22,ESS,0.1,0.780864352707036,0.05258828070380095,0.2597980233396697,0.7539311109028436
5,22,PL,0.30000000000000004,1.901111946589007,0.05851276547790421,2.7345912731044337,0.5283529435504657
6,22,OPT-GEO-IND,0.30000000000000004,0.765551983811489,0.0,0.0,0.765551983811481
7,22,OPT-SEM-IND,0.30000000000000004,0.16597523117194898,0.0,0.0,0.765551983811481
8,22,ESS,0.30000000000000004,0.763768449325098,0.052831796136569395,0.26194363715470126,0.7310102016439753
9,22,PL,0.5000000000000001,1.7219056996203401,0.06639526461224549,3.5293970645182764,0.40541589487168533
10,22,OPT-GEO-IND,0.5000000000000001,0.7603614843938106,0.14271187735289584,0.5679268693364219,0.5180274179743577
11,22,OPT-SEM-IND,0.5000000000000001,0.1601206214847514,0.07634404601078598,0.2224671291771967,0.6030519337108691
12,22,ESS,0.5000000000000001,0.7472754872390069,0.053449564185949885,0.2659846204782012,0.7085343820664572
13,22,PL,0.7000000000000001,1.5555643891265218,0.07907829431672517,3.7734319077329697,0.311041350306007
14,22,OPT-GEO-IND,0.7000000000000001,0.7106450987879497,0.20203326073978817,2.0379280260935415,0.41390868501118183
15,22,OPT-SEM-IND,0.7000000000000001,0.15152335293579894,0.10017921680246679,0.29728247090263404,0.5576163381273976
16,22,ESS,0.7000000000000001,0.7313677329832172,0.05465757841195869,0.2738979432351356,0.6865222951832264
17,22,PL,0.9000000000000001,1.4081286606011825,0.09204204887969293,3.883393453408138,0.24205099775704034
18,22,OPT-GEO-IND,0.9000000000000001,0.6432120717631132,0.2588780645437606,1.3295885960912983,0.3454832106815
19,22,OPT-SEM-IND,0.9000000000000001,0.14382499063648882,0.12040657287790553,0.36371557148813694,0.5186895913159946
20,22,ESS,0.9000000000000001,0.7160437763411096,0.05736147174561007,0.29065659668418325,0.6649901816291293
21,22,PL,1.1000000000000003,1.2767905731786515,0.10374032737421282,3.9750377500082568,0.19373048139461857
22,22,OPT-GEO-IND,1.1000000000000003,0.5562662921493895,0.2946450185570756,2.95739116601597,0.31281935793386767
23,22,OPT-SEM-IND,1.1000000000000003,0.13702125300494647,0.1428157018784331,0.44181455049421664,0.485266947318989
24,22,ESS,1.1000000000000003,0.7013310185603869,0.05933822664314745,0.30585802572612436,0.643951928535089
25,22,PL,1.3000000000000003,1.1622425417373965,0.11596391579550717,3.974217542275168,0.16120658570894703
26,22,OPT-GEO-IND,1.3000000000000003,0.47863094602105577,0.3340170777744794,2.2227871082447255,0.25935535841614066
27,22,OPT-SEM-IND,1.3000000000000003,0.12924851846074611,0.22740191014400302,0.7892881234124718,0.32727570801773814
28,22,ESS,1.3000000000000003,0.6869525582985513,0.06207440020766135,0.32399745188160994,0.6234191360921262
29,22,PL,1.5000000000000004,1.0633662210668768,0.1321683258738786,4.255629265241316,0.140266467832327
30,22,OPT-GEO-IND,1.5000000000000004,0.41600675991870295,0.3578827010240213,2.3321658341147136,0.23028792190103112
31,22,OPT-SEM-IND,1.5000000000000004,0.11966037407299936,0.25714864915293234,0.9059679850474647,0.30000921911564893
32,22,ESS,1.5000000000000004,0.6733039907395857,0.06532059205456135,0.34647180574712416,0.6034011992716157
33,22,PL,1.7000000000000004,0.9779669284330246,0.14742267860390162,4.255229192182104,0.12764195397527364
34,22,OPT-GEO-IND,1.7000000000000004,0.36646090452536306,0.39039142449997805,3.976407976700354,0.21391585072530583
35,22,OPT-SEM-IND,1.7000000000000004,0.1112569598211801,0.2788937018244198,1.006751231820425,0.28950930251033036
36,22,ESS,1.7000000000000004,0.6601030717557123,0.06807872389971645,0.36943707444473894,0.5839054022032152
37,22,PL,1.9000000000000004,0.9027385455669931,0.16015750634085693,4.302445538660024,0.12097063663011942
38,22,OPT-GEO-IND,1.9000000000000004,0.3269372282583358,0.41536191664587135,2.7205376299042747,0.1774373427325848
39,22,OPT-SEM-IND,1.9000000000000004,0.10338406344986308,0.34366791137418873,1.3512752289084944,0.21528320217353064
40,22,ESS,1.9000000000000004,0.6473774994561197,0.0707650547241484,0.39352113484097145,0.5649370227934836
